item_id,item_name,item_category_id,brand,pack_size_value,pack_size_uom,pack_count,tier,is_perishable,shelf_life_days,mrp_inr,unit_cost_inr,gst_rate
54,Saffola Baking Supplies 2000g x1 (Regular),25,Saffola,2000,g,1,Regular,0,460,192.08,162.33,0.0
55,Red Bull Dishwash 500g x24 (Economy),40,Red Bull,500,g,24,Economy,0,422,240.97,215.99,0.12
56,Lizol Water 500g x5 (Regular),27,Lizol,500,g,5,Regular,0,373,379.82,343.69,0.0
57,DMart School Essentials 100ml x6 (Regular),64,DMart,100,ml,6,Regular,0,442,87.14,68.11,0.05
58,Bikaji Packaged Foods 500g x2 (Economy),10,Bikaji,500,g,2,Economy,0,415,39.99,32.22,0.0
59,Ariel Sports 1000ml x1 (Premium),57,Ariel,1000,ml,1,Premium,0,651,508.28,464.72,0.12
60,Surf Excel Chocolates 2000ml x3 (Economy),14,Surf Excel,2000,ml,3,Economy,0,393,324.82,269.38,0.0
61,Tropicana Diabetic Care 250g x3 (Regular),86,Tropicana,250,g,3,Regular,0,233,2079.61,1671.56,0.12
62,Paper Boat Water 750g x3 (Economy),27,Paper Boat,750,g,3,Economy,0,429,402.74,355.22,0.05
63,"Patanjali Sauces, Ketchup 200g x6 (Regular)",22,Patanjali,200,g,6,Regular,0,692,272.33,221.59,0.0
64,Haldiram Home Décor 2000g x1 (Regular),81,Haldiram,2000,g,1,Regular,0,357,3612.11,3283.82,0.12
65,Pepsi Bakery 2000ml x4 (Economy),3,Pepsi,2000,ml,4,Economy,1,3,667.07,587.24,0.0
66,Coca-Cola Category 95 500g x2 (Regular),95,Coca-Cola,500,g,2,Regular,0,148,1858.18,1449.98,0.18
67,Lizol First Aid 750ml x1 (Premium),85,Lizol,750,ml,1,Premium,0,369,435.17,358.65,0.12
68,Amul Storage 2000ml x1 (Regular),51,Amul,2000,ml,1,Regular,0,133,109.65,96.84,0.18
69,Everest Kitchen Essentials 100ml x1 (Economy),42,Everest,100,ml,1,Economy,0,269,45.99,40.83,0.12
70,Maggi Home Care 500ml x5 (Economy),38,Maggi,500,ml,5,Economy,0,480,387.94,355.8,0.12
71,ITC Edible Oils 100g x5 (Economy),6,ITC,100,g,5,Economy,0,711,341.3,288.11,0.0
72,Surf Excel Edible Oils 500g x1 (Economy),6,Surf Excel,500,g,1,Economy,0,373,348.25,274.95,0.0
73,Himalaya Bath Linen 1000ml x1 (Economy),54,Himalaya,1000,ml,1,Economy,0,630,938.15,776.32,0.05
74,Nestlé Category 91 500g x1 (Economy),91,Nestlé,500,g,1,Economy,0,648,2846.26,2368.44,0.28
75,Catch OTC Medicines 50g x4 (Regular),37,Catch,50,g,4,Regular,0,304,897.16,777.58,0.18
76,Catch Fresh Produce 50g x1 (Regular),1,Catch,50,g,1,Regular,1,17,131.49,107.82,0.05
77,Britannia Hardware 1000ml x1 (Economy),70,Britannia,1000,ml,1,Economy,0,397,827.39,675.08,0.12
78,Red Bull Plastics 750ml x3 (Regular),71,Red Bull,750,ml,3,Regular,0,550,1250.74,1000.54,0.18
79,DMart Pickles 50ml x2 (Economy),23,DMart,50,ml,2,Economy,0,224,211.88,165.79,0.0
80,Ariel Bedding 750ml x10 (Economy),53,Ariel,750,ml,10,Economy,0,527,275.64,230.03,0.18
81,Monster Packaged Foods 250g x4 (Regular),10,Monster,250,g,4,Regular,0,579,51.44,46.75,0.0
82,Nivea Ready-to-Eat 50g x12 (Economy),11,Nivea,50,g,12,Economy,0,427,94.67,84.42,0.05
83,Himalaya Gardening 1000g x10 (Premium),56,Himalaya,1000,g,10,Premium,0,521,1688.51,1485.33,0.12
84,Pepsi OTC Medicines 750ml x6 (Economy),37,Pepsi,750,ml,6,Economy,0,398,1402.97,1095.53,0.12
85,Nestlé Stationery 250g x1 (Regular),44,Nestlé,250,g,1,Regular,0,106,730.49,600.93,0.18
86,Dabur Home Care 50ml x24 (Economy),38,Dabur,50,ml,24,Economy,0,714,294.7,246.49,0.05
87,Dabur Pet Food Premium 250g x5 (Premium),88,Dabur,250,g,5,Premium,0,94,814.3,722.13,0.18
88,Dettol Electronics Accessories 500ml x1 (Regular),65,Dettol,500,ml,1,Regular,0,542,579.26,495.28,0.12
89,Lizol Sanitary 250g x4 (Regular),80,Lizol,250,g,4,Regular,0,488,1209.29,950.33,0.18
90,Everest Breakfast Cereals 2000ml x5 (Economy),20,Everest,2000,ml,5,Economy,0,514,193.7,168.98,0.05
91,Dove Category 96 200g x6 (Regular),96,Dove,200,g,6,Regular,0,102,1421.76,1235.85,0.12
92,Sunfeast Automotive 250ml x12 (Economy),69,Sunfeast,250,ml,12,Economy,0,697,794.91,694.37,0.18
93,Lifebuoy Spices 750ml x1 (Regular),7,Lifebuoy,750,ml,1,Regular,0,98,386.92,337.58,0.0
94,Saffola Edible Oils 250ml x2 (Economy),6,Saffola,250,ml,2,Economy,0,294,341.62,312.7,0.0
95,Paper Boat Biscuits 200ml x5 (Premium),13,Paper Boat,200,ml,5,Premium,0,300,441.08,357.65,0.05
96,Fortune Pickles 250g x1 (Economy),23,Fortune,250,g,1,Economy,0,611,259.83,210.81,0.0
97,Red Bull Ice Cream 1000g x2 (Economy),15,Red Bull,1000,g,2,Economy,1,17,466.46,367.09,0.05
98,DMart Staples 250ml x3 (Regular),4,DMart,250,ml,3,Regular,0,350,276.16,252.9,0.05
99,Parle Bath 2000g x1 (Economy),32,Parle,2000,g,1,Economy,0,458,339.57,297.91,0.05
100,Haldiram Health Drinks 50ml x2 (Economy),18,Haldiram,50,ml,2,Economy,0,420,113.08,100.35,0.05
101,Ariel Men's Grooming 50g x1 (Economy),33,Ariel,50,g,1,Economy,0,391,245.74,193.9,0.05
102,Kissan Electronics Accessories 50ml x24 (Regular),65,Kissan,50,ml,24,Regular,0,686,687.1,590.13,0.05
103,"Tropicana Sauces, Ketchup 50g x24 (Economy)",22,Tropicana,50,g,24,Economy,0,215,239.72,197.25,0.05
104,DMart Bakery 200g x5 (Premium),3,DMart,200,g,5,Premium,1,10,546.07,496.7,0.0
105,Kellogg's Plastics 750g x4 (Regular),71,Kellogg's,750,g,4,Regular,0,197,1650.39,1420.25,0.28
106,Kissan Baby Care 750g x3 (Premium),35,Kissan,750,g,3,Premium,0,520,556.02,507.44,0.05
107,Catch Meat 1000ml x10 (Economy),17,Catch,1000,ml,10,Economy,1,9,232.7,182.85,0.05
108,Bikaji First Aid 750g x1 (Regular),85,Bikaji,750,g,1,Regular,0,172,374.45,328.0,0.18
109,Himalaya Footwear 100g x1 (Regular),59,Himalaya,100,g,1,Regular,0,140,451.41,352.24,0.12
110,DMart Hair Care 100g x1 (Economy),30,DMart,100,g,1,Economy,0,253,262.11,234.61,0.0
111,Coca-Cola Dry Fruits 200g x2 (Premium),24,Coca-Cola,200,g,2,Premium,0,353,271.98,242.62,0.0
112,Paper Boat Pulses 50g x4 (Premium),5,Paper Boat,50,g,4,Premium,0,149,288.26,235.07,0.05
113,Colgate Breakfast Cereals 100g x1 (Regular),20,Colgate,100,g,1,Regular,0,460,77.65,69.42,0.0
114,Red Bull Sports 50g x1 (Regular),57,Red Bull,50,g,1,Regular,0,485,268.01,229.51,0.12
115,ITC Pulses 100g x5 (Regular),5,ITC,100,g,5,Regular,0,425,268.58,233.0,0.05
116,ITC Soft Drinks 500g x1 (Regular),26,ITC,500,g,1,Regular,0,187,94.83,75.41,0.05
117,Tropicana Stationery 200g x12 (Premium),44,Tropicana,200,g,12,Premium,0,690,1362.25,1068.51,0.12
118,Dabur Footwear 100g x1 (Economy),59,Dabur,100,g,1,Economy,0,203,419.35,342.46,0.18
119,DMart Apparel 50ml x3 (Economy),60,DMart,50,ml,3,Economy,0,337,512.27,420.79,0.12
120,Parle Breakfast Cereals 50ml x4 (Regular),20,Parle,50,ml,4,Regular,0,701,119.57,106.01,0.0
121,Catch Pickles 250g x3 (Economy),23,Catch,250,g,3,Economy,0,218,292.18,266.78,0.05
122,Maggi Ready-to-Eat 500g x1 (Economy),11,Maggi,500,g,1,Economy,0,545,81.87,69.46,0.05
123,Pepsi Travel 1000ml x5 (Regular),58,Pepsi,1000,ml,5,Regular,0,93,883.69,811.18,0.12
124,MDH Health Drinks 2000g x1 (Economy),18,MDH,2000,g,1,Economy,0,600,191.93,161.02,0.0
125,Sunfeast Baby Care 750g x12 (Regular),35,Sunfeast,750,g,12,Regular,0,644,658.27,561.85,0.12
126,Maggi Home Décor 1000ml x12 (Regular),81,Maggi,1000,ml,12,Regular,0,672,4546.85,4038.06,0.28
127,Lifebuoy Fresh Produce 200ml x1 (Regular),1,Lifebuoy,200,ml,1,Regular,1,14,148.0,123.71,0.05
128,Haldiram International Foods 50g x3 (Premium),74,Haldiram,50,g,3,Premium,0,500,1662.26,1496.55,0.28
129,Tata Footwear 200g x1 (Regular),59,Tata,200,g,1,Regular,0,119,488.06,424.74,0.18
130,Monster Cookware 500ml x12 (Regular),50,Monster,500,ml,12,Regular,0,375,342.2,313.68,0.05
131,Britannia Oral Care 2000g x1 (Regular),29,Britannia,2000,g,1,Regular,0,616,75.68,59.93,0.0
132,DMart Electricals 1000ml x1 (Regular),47,DMart,1000,ml,1,Regular,0,400,246.94,201.24,0.12
133,Paper Boat Value Packs 750ml x3 (Economy),89,Paper Boat,750,ml,3,Economy,0,426,4467.63,3676.99,0.12
134,DMart Spices 250ml x2 (Premium),7,DMart,250,ml,2,Premium,0,702,560.28,466.14,0.0
135,Pepsi Pulses 200g x1 (Economy),5,Pepsi,200,g,1,Economy,0,228,190.11,151.69,0.05
136,Appy Dry Fruits 200g x24 (Premium),24,Appy,200,g,24,Premium,0,125,467.93,421.89,0.0
137,Nivea Spices 200ml x1 (Economy),7,Nivea,200,ml,1,Economy,0,643,261.43,216.21,0.0
138,Dove Masks 50ml x3 (Economy),84,Dove,50,ml,3,Economy,0,505,2477.08,2146.76,0.18
139,Dettol Electronics Accessories 50ml x10 (Regular),65,Dettol,50,ml,10,Regular,0,578,580.93,468.29,0.18
140,Britannia Ready-to-Eat 500g x3 (Premium),11,Britannia,500,g,3,Premium,0,143,142.28,117.45,0.0
141,Surf Excel Soft Drinks 250ml x24 (Regular),26,Surf Excel,250,ml,24,Regular,0,185,143.15,125.75,0.0
142,Kissan Oral Care 250ml x1 (Regular),29,Kissan,250,ml,1,Regular,0,125,46.36,38.39,0.05
143,Dove Category 90 100ml x1 (Economy),90,Dove,100,ml,1,Economy,0,369,1704.33,1466.23,0.28
144,Lifebuoy Pickles 1000ml x10 (Regular),23,Lifebuoy,1000,ml,10,Regular,0,244,522.97,476.22,0.05
145,Patanjali Baby Care 100g x10 (Economy),35,Patanjali,100,g,10,Economy,0,129,360.46,324.38,0.05
146,Parle Laundry Detergent 500g x1 (Regular),39,Parle,500,g,1,Regular,0,669,341.78,296.03,0.05
147,Sunfeast School Essentials 50g x5 (Premium),64,Sunfeast,50,g,5,Premium,0,542,94.6,75.5,0.05
148,Red Bull Protein 1000g x1 (Economy),76,Red Bull,1000,g,1,Economy,0,455,255.77,228.67,0.12
149,Paper Boat Home Furnishing 100g x1 (Regular),52,Paper Boat,100,g,1,Regular,0,137,496.89,408.45,0.12
150,Kissan Baking Supplies 750g x2 (Economy),25,Kissan,750,g,2,Economy,0,630,189.66,158.3,0.0
151,Appy Ice Cream 200ml x12 (Regular),15,Appy,200,ml,12,Regular,1,29,442.79,357.69,0.0
152,Coca-Cola Personal Care 500ml x24 (Regular),28,Coca-Cola,500,ml,24,Regular,0,258,520.4,436.3,0.05
153,DMart Disposable 100ml x6 (Economy),43,DMart,100,ml,6,Economy,0,597,686.42,562.03,0.12
154,Bikaji Gifting Combos 250ml x10 (Regular),63,Bikaji,250,ml,10,Regular,0,247,249.77,229.76,0.12
155,Dove Category 91 250g x6 (Economy),91,Dove,250,g,6,Economy,0,137,3314.59,2789.52,0.18
156,Monster Cosmetics 200ml x3 (Regular),77,Monster,200,ml,3,Regular,0,538,2073.14,1809.28,0.18
157,Dove Electronics Accessories 500ml x6 (Economy),65,Dove,500,ml,6,Economy,0,260,752.55,610.56,0.05
158,Pears Home Décor 200ml x4 (Regular),81,Pears,200,ml,4,Regular,0,491,2834.5,2356.08,0.18
159,Everest Cleaning Tools 500g x1 (Regular),55,Everest,500,g,1,Regular,0,366,181.39,155.57,0.05
160,Britannia Pet Food Premium 500g x1 (Economy),88,Britannia,500,g,1,Economy,0,475,447.54,386.23,0.12
161,Paper Boat OTC Medicines 50ml x3 (Regular),37,Paper Boat,50,ml,3,Regular,0,318,939.25,755.33,0.05
162,Haldiram Edible Oils 50g x2 (Economy),6,Haldiram,50,g,2,Economy,0,208,309.02,249.04,0.05
163,Himalaya Travel 50ml x6 (Economy),58,Himalaya,50,ml,6,Economy,0,499,491.94,392.46,0.05
164,Pepsi Value Packs 1000ml x1 (Economy),89,Pepsi,1000,ml,1,Economy,0,458,3371.04,2752.09,0.18
165,Ariel Dairy 250g x6 (Regular),2,Ariel,250,g,6,Regular,1,25,216.98,187.17,0.05
166,Pears Electricals 2000ml x2 (Regular),47,Pears,2000,ml,2,Regular,0,380,310.68,277.81,0.12
167,Everest Noodles 50ml x24 (Regular),21,Everest,50,ml,24,Regular,0,434,211.07,173.39,0.05
168,Monster Personal Care 750g x2 (Economy),28,Monster,750,g,2,Economy,0,570,395.82,349.93,0.0
169,Catch Masks 50ml x1 (Regular),84,Catch,50,ml,1,Regular,0,614,2263.42,1803.2,0.18
170,Lizol Pickles 200g x12 (Economy),23,Lizol,200,g,12,Economy,0,232,346.49,315.74,0.0
171,Monster Home Appliances 2000ml x12 (Regular),48,Monster,2000,ml,12,Regular,0,252,2078.14,1781.36,0.18
172,Kissan Hair Care 50ml x12 (Economy),30,Kissan,50,ml,12,Economy,0,191,378.57,346.12,0.0
173,Britannia First Aid 200g x24 (Economy),85,Britannia,200,g,24,Economy,0,154,355.01,305.68,0.12
174,Ariel Soft Drinks 1000g x5 (Regular),26,Ariel,1000,g,5,Regular,0,338,154.75,136.3,0.0
175,Nestlé Spices 100ml x1 (Economy),7,Nestlé,100,ml,1,Economy,0,418,267.02,212.49,0.0
176,Parle Hair Care 50g x2 (Economy),30,Parle,50,g,2,Economy,0,298,259.68,230.21,0.05
177,Tata Oral Care 750ml x1 (Regular),29,Tata,750,ml,1,Regular,0,375,70.54,57.29,0.05
178,Coca-Cola Fragrances 250g x2 (Economy),78,Coca-Cola,250,g,2,Economy,0,699,648.23,574.93,0.12
179,Kissan Pickles 250ml x1 (Regular),23,Kissan,250,ml,1,Regular,0,235,233.79,194.66,0.05
180,Tropicana Breakfast Cereals 750g x1 (Regular),20,Tropicana,750,g,1,Regular,0,345,138.73,115.03,0.0
181,Amul Oral Care 2000g x1 (Regular),29,Amul,2000,g,1,Regular,0,523,94.22,86.08,0.05
182,Kellogg's Bath Linen 200ml x24 (Regular),54,Kellogg's,200,ml,24,Regular,0,330,968.44,861.83,0.05
183,Tata Hair Care 100ml x24 (Premium),30,Tata,100,ml,24,Premium,0,305,655.7,577.3,0.05
184,Haldiram Home Care 2000g x1 (Economy),38,Haldiram,2000,g,1,Economy,0,582,352.09,319.3,0.12
185,Maggi Gardening 100g x1 (Economy),56,Maggi,100,g,1,Economy,0,144,600.58,501.68,0.05
186,Coca-Cola Dairy 50g x6 (Regular),2,Coca-Cola,50,g,6,Regular,1,28,170.3,146.68,0.05
187,"Himalaya Tea, Coffee 2000ml x2 (Economy)",9,Himalaya,2000,ml,2,Economy,0,134,154.0,140.56,0.05
188,Nestlé Travel 750g x4 (Economy),58,Nestlé,750,g,4,Economy,0,95,678.73,611.56,0.12
189,Britannia Party Supplies 2000ml x1 (Regular),82,Britannia,2000,ml,1,Regular,0,241,613.39,553.6,0.18
190,Paper Boat Protein 250ml x10 (Regular),76,Paper Boat,250,ml,10,Regular,0,194,352.68,321.04,0.12
191,Nestlé Gardening 2000g x2 (Economy),56,Nestlé,2000,g,2,Economy,0,326,1075.91,974.27,0.05
192,Coca-Cola Category 96 1000ml x1 (Regular),96,Coca-Cola,1000,ml,1,Regular,0,485,1654.55,1312.42,0.18
193,Nivea International Foods 2000ml x1 (Regular),74,Nivea,2000,ml,1,Regular,0,677,2055.01,1700.77,0.18
194,Dabur Bath Linen 500ml x12 (Economy),54,Dabur,500,ml,12,Economy,0,325,1068.84,946.66,0.12
195,Haldiram Kitchen Appliances 50ml x1 (Regular),49,Haldiram,50,ml,1,Regular,0,100,270.78,229.92,0.18
196,Fortune International Foods 100g x1 (Regular),74,Fortune,100,g,1,Regular,0,304,1278.95,1173.91,0.18
197,Tropicana Fragrances 1000g x24 (Regular),78,Tropicana,1000,g,24,Regular,0,575,1891.22,1566.17,0.12
198,Patanjali Baby Food 200ml x5 (Economy),19,Patanjali,200,ml,5,Economy,0,392,51.64,40.54,0.0
199,Lizol International Foods 50g x3 (Regular),74,Lizol,50,g,3,Regular,0,434,1471.37,1269.12,0.18
200,Harpic Stationery 100ml x24 (Economy),44,Harpic,100,ml,24,Economy,0,226,772.74,662.62,0.05
201,Everest Fresh Produce 250ml x24 (Economy),1,Everest,250,ml,24,Economy,1,11,266.56,211.05,0.0
202,Kissan Biscuits 750g x2 (Economy),13,Kissan,750,g,2,Economy,0,544,391.5,335.13,0.0
203,Maggi School Essentials 250g x10 (Economy),64,Maggi,250,g,10,Economy,0,483,107.82,91.24,0.12
204,MDH Dry Fruits 500g x3 (Economy),24,MDH,500,g,3,Economy,0,139,272.0,222.59,0.0
205,Sunfeast Books 200ml x3 (Regular),72,Sunfeast,200,ml,3,Regular,0,185,845.74,684.06,0.18
206,Saffola Toys 2000ml x1 (Regular),45,Saffola,2000,ml,1,Regular,0,152,676.05,563.78,0.18
207,Parle Category 97 750ml x3 (Premium),97,Parle,750,ml,3,Premium,0,428,1146.63,1031.93,0.12
208,Pears Festive Packs 100g x5 (Economy),62,Pears,100,g,5,Economy,0,671,583.61,504.24,0.05
209,Harpic Edible Oils 100g x1 (Economy),6,Harpic,100,g,1,Economy,0,422,270.22,222.57,0.05
210,Nivea Books 250ml x10 (Regular),72,Nivea,250,ml,10,Regular,0,582,1175.09,1074.25,0.28
211,Dabur Storage 500ml x2 (Regular),51,Dabur,500,ml,2,Regular,0,476,72.33,60.94,0.05
212,Everest Ice Cream 2000g x2 (Premium),15,Everest,2000,g,2,Premium,1,25,835.17,765.76,0.05
213,Colgate Home Care 200ml x5 (Premium),38,Colgate,200,ml,5,Premium,0,200,379.57,300.98,0.05
214,Himalaya Ready-to-Eat 50g x4 (Economy),11,Himalaya,50,g,4,Economy,0,198,81.16,73.09,0.05
215,Fortune Soft Drinks 500g x12 (Regular),26,Fortune,500,g,12,Regular,0,283,147.97,116.47,0.0
216,Colgate Apparel 750ml x3 (Regular),60,Colgate,750,ml,3,Regular,0,489,911.03,727.95,0.12
217,Everest Bath 500ml x1 (Economy),32,Everest,500,ml,1,Economy,0,237,228.66,207.32,0.12
218,Tropicana Storage 2000g x2 (Premium),51,Tropicana,2000,g,2,Premium,0,522,133.25,113.53,0.05
219,Nestlé Home Décor 100ml x24 (Regular),81,Nestlé,100,ml,24,Regular,0,144,3936.11,3484.47,0.18
220,Lifebuoy Cleaning Tools 1000g x4 (Premium),55,Lifebuoy,1000,g,4,Premium,0,660,432.94,339.16,0.05
221,Himalaya Edible Oils 500g x5 (Regular),6,Himalaya,500,g,5,Regular,0,455,504.71,458.72,0.0
222,Maggi Oral Care 750g x2 (Economy),29,Maggi,750,g,2,Economy,0,384,73.86,58.61,0.05
223,"Kissan Sauces, Ketchup 100ml x1 (Economy)",22,Kissan,100,ml,1,Economy,0,717,134.77,120.18,0.0
224,Surf Excel Women's Hygiene 250ml x24 (Regular),34,Surf Excel,250,ml,24,Regular,0,714,1154.31,994.55,0.12
225,Dove Sanitary 250ml x4 (Regular),80,Dove,250,ml,4,Regular,0,184,1366.52,1215.31,0.18
226,Tata Dry Fruits 250ml x5 (Economy),24,Tata,250,ml,5,Economy,0,146,261.96,221.59,0.0
227,Haldiram Apparel 500g x24 (Economy),60,Haldiram,500,g,24,Economy,0,576,963.97,781.0,0.05
228,Everest Women's Hygiene 200g x4 (Economy),34,Everest,200,g,4,Economy,0,348,951.06,868.29,0.12
229,Dove Books 1000g x2 (Economy),72,Dove,1000,g,2,Economy,0,147,835.88,695.11,0.18
230,ITC Frozen Foods 500g x2 (Economy),16,ITC,500,g,2,Economy,1,6,300.92,241.86,0.05
231,DMart Home Care 1000g x1 (Economy),38,DMart,1000,g,1,Economy,0,417,277.64,219.52,0.18
232,Monster Home Appliances 200g x1 (Regular),48,Monster,200,g,1,Regular,0,588,757.45,605.73,0.18
233,Patanjali Soft Drinks 2000ml x2 (Premium),26,Patanjali,2000,ml,2,Premium,0,703,176.21,146.47,0.05
234,Everest Kitchen Essentials 100g x1 (Economy),42,Everest,100,g,1,Economy,0,480,47.71,42.57,0.12
235,Pepsi Breakfast Cereals 750g x1 (Regular),20,Pepsi,750,g,1,Regular,0,180,121.56,102.38,0.0
236,Surf Excel Category 97 100ml x1 (Regular),97,Surf Excel,100,ml,1,Regular,0,676,497.55,399.74,0.28
237,Himalaya Bath Linen 200ml x1 (Regular),54,Himalaya,200,ml,1,Regular,0,416,527.78,417.7,0.12
238,Dabur Home Appliances 250g x2 (Economy),48,Dabur,250,g,2,Economy,0,424,646.19,532.78,0.12
239,Colgate Diabetic Care 250ml x24 (Regular),86,Colgate,250,ml,24,Regular,0,278,3216.98,2838.41,0.18
